1
30
1:(1,5)
2:(3,8)
3:(3,2)
4:(6,9)
5:(6,1)
6:(9,7)
7:(9,3)
8:(12,9)
9:(12,1)
10:(15,5)
11:(17,8)
12:(17,2)
13:(20,9)
14:(20,1)
15:(23,5)
16:(25,8)
17:(25,2)
18:(28,9)
19:(28,1)
20:(31,5)
21:(33,8)
22:(33,2)
23:(36,9)
24:(36,1)
25:(39,5)
26:(41,8)
27:(41,2)
28:(44,9)
29:(44,1)
30:(47,5)
1,2,5
1,3,4
2,4,7
3,5,6
4,6,8
5,7,5
6,8,4
7,9,6
8,10,7
9,10,5
10,11,4
10,12,6
11,13,7
12,14,5
13,15,4
14,15,6
15,16,7
15,17,5
16,18,4
17,19,6
18,20,7
19,20,5
20,21,4
20,22,6
21,23,7
22,24,5
23,25,4
24,25,6
25,26,7
25,27,5
26,28,4
27,29,6
28,30,7
29,30,5
